date,away,home,score_away,score_home
11/3/2002,  .  Titans,Colts,23,15
11/3/2002,Ravens,Falcons,17,20
11/3/2002,Patriots,Bills,38,7
11/3/2002,Eagles,Bears,19,13
11/3/2002,Steelers,Browns,23,20
11/3/2002,Cowboys,Lions,7,9
11/3/2002,Vikings,Buccaneers,24,38
11/3/2002,Bengals,Texans,38,3
11/3/2002,Jets,Chargers,44,13
11/3/2002,49ers,Raiders,23,20
11/3/2002,Rams,Cardinals,27,14
11/3/2002,Washington,Seahawks,14,3
11/3/2002,Jaguars,Giants,17,24
11/4/2002,Dolphins,Packers,10,24
11/10/2002,  .  Lions,Packers,14,40
11/10/2002,  .  Texans,Titans,10,17
11/10/2002,Chargers,Rams,24,28
11/10/2002,Giants,Vikings,27,20
11/10/2002,Colts,Eagles,35,13
11/10/2002,Falcons,Steelers,34,34
11/10/2002,Saints,Panthers,34,24
11/10/2002,Bengals,Ravens,27,38
11/10/2002,Seahawks,Cardinals,27,6
11/10/2002,Washington,Jaguars,7,26
11/10/2002,Patriots,Bears,33,30
11/10/2002,Chiefs,49ers,13,17
11/10/2002,Dolphins,Jets,10,13
11/11/2002,Raiders,Broncos,34,10
11/17/2002,Saints,Falcons,17,24
11/17/2002,Browns,Bengals,27,20
11/17/2002,Steelers,Titans,23,31
11/17/2002,Cowboys,Colts,3,20
11/17/2002,Bills,Chiefs,16,17
11/17/2002,Packers,Vikings,21,31
11/17/2002,Washington,Giants,17,19
11/17/2002,Cardinals,Eagles,14,38
11/17/2002,Jaguars,Texans,24,21
11/17/2002,49ers,Chargers,17,20
11/17/2002,Panthers,Buccaneers,10,23
11/17/2002,Jets,Lions,31,14
11/17/2002,Ravens,Dolphins,7,26
11/17/2002,Broncos,Seahawks,31,9
11/17/2002,Patriots,Raiders,20,27
11/18/2002,Bears,Rams,16,21
11/24/2002,Chiefs,Seahawks,32,39
11/24/2002,Rams,Washington,17,20
11/24/2002,Lions,Bears,17,20
11/24/2002,Jaguars,Cowboys,19,21
11/24/2002,Chargers,Dolphins,3,30
11/24/2002,Vikings,Patriots,17,24
11/24/2002,Browns,Saints,24,15
11/24/2002,Bills,Jets,13,31
11/24/2002,Bengals,Steelers,21,29
11/24/2002,Falcons,Panthers,41,0
11/24/2002,Titans,Ravens,12,13
11/24/2002,Raiders,Cardinals,41,20
11/24/2002,Packers,Buccaneers,7,21
11/24/2002,Giants,Texans,14,16
11/24/2002,Colts,Broncos,23,20
11/25/2002,Eagles,49ers,38,17
11/28/2002,Patriots,Lions,20,12
11/28/2002,Washington,Cowboys,20,27
12/1/2002,  .  Rams,Eagles,3,10
12/1/2002,Cardinals,Chiefs,0,49
12/1/2002,Dolphins,Bills,21,38
12/1/2002,Ravens,Bengals,27,23
12/1/2002,Panthers,Browns,13,6
12/1/2002,Bears,Packers,20,30
12/1/2002,Falcons,Vikings,30,24
12/1/2002,Titans,Giants,32,29
12/1/2002,Steelers,Jaguars,25,23
12/1/2002,Texans,Colts,3,19
12/1/2002,Broncos,Chargers,27,30
12/1/2002,Seahawks,49ers,24,31
12/1/2002,Buccaneers,Saints,20,23
12/2/2002,Jets,Raiders,20,26
12/8/2002,Vikings,Packers,22,26
12/8/2002,49ers,Cowboys,31,27
12/8/2002,Colts,Titans,17,27
12/8/2002,Rams,Chiefs,10,49
12/8/2002,Bills,Patriots,17,27
12/8/2002,Texans,Steelers,24,6
12/8/2002,Falcons,Buccaneers,10,34
12/8/2002,Giants,Washington,27,21
12/8/2002,Bengals,Panthers,31,52
12/8/2002,Browns,Jaguars,21,20
12/8/2002,Lions,Cardinals,20,23
12/8/2002,Eagles,Seahawks,27,20
12/8/2002,Saints,Ravens,37,25
12/8/2002,Broncos,Jets,13,19
12/8/2002,Raiders,Chargers,27,7
12/9/2002,Bears,Dolphins,9,27
12/15/2002,Seahawks,Falcons,30,24
12/15/2002,Chargers,Bills,13,20
12/15/2002,Jets,Bears,13,20
12/15/2002,Jaguars,Bengals,29,15
12/15/2002,Colts,Browns,28,23
12/15/2002,Buccaneers,Lions,23,20
12/15/2002,Raiders,Dolphins,17,23
12/15/2002,Vikings,Saints,32,31
12/15/2002,Washington,Eagles,21,34
12/15/2002,Panthers,Steelers,14,30
12/15/2002,Ravens,Texans,23,19
12/15/2002,Chiefs,Broncos,24,31
12/15/2002,Cowboys,Giants,7,37
12/15/2002,Packers,49ers,20,14
12/15/2002,Cardinals,Rams,28,30
12/16/2002,Patriots,Titans,7,24
12/21/2002,  .  Dolphins,Vikings,17,20
12/21/2002,49ers,Cardinals,17,14
12/21/2002,Eagles,Cowboys,27,3
12/22/2002,Lions,Falcons,15,36
12/22/2002,Saints,Bengals,13,20
12/22/2002,Bills,Packers,0,10
12/22/2002,Giants,Colts,44,27
12/22/2002,Chargers,Chiefs,22,24
12/22/2002,Texans,Washington,10,26
12/22/2002,Bears,Panthers,14,24
12/22/2002,Titans,Jaguars,28,10
12/22/2002,Rams,Seahawks,10,30
12/22/2002,Broncos,Raiders,16,28
12/22/2002,Browns,Ravens,14,13
12/22/2002,Jets,Patriots,30,17
12/23/2002,Steelers,Buccaneers,17,7
12/28/2002,Eagles,Giants,7,10
12/28/2002,Chiefs,Raiders,0,24
12/29/2002,  .  Panthers,Saints,10,6
12/29/2002,Bengals,Bills,9,27
12/29/2002,Falcons,Browns,16,24
12/29/2002,Vikings,Lions,38,36
12/29/2002,Dolphins,Patriots,24,27
12/29/2002,Ravens,Steelers,31,34
12/29/2002,Cowboys,Washington,14,20
12/29/2002,Titans,Texans,13,3
12/29/2002,Jaguars,Colts,13,20
12/29/2002,Cardinals,Broncos,7,37
12/29/2002,Packers,Jets,17,42
12/29/2002,Seahawks,Chargers,31,28
12/29/2002,Buccaneers,Bears,15,0
12/30/2002,49ers,Rams,20,31
1/4/2003,Colts,Jets,0,41
1/4/2003,Falcons,Packers,27,7
1/5/2003,Browns,Steelers,33,36
1/5/2003,Giants,49ers,38,39
1/11/2003,Steelers,Titans,31,34
1/11/2003,Falcons,Eagles,6,20
1/12/2003,49ers,Buccaneers,6,31
1/12/2003,Jets,Raiders,10,30
1/19/2003,Buccaneers,Eagles,27,10
1/19/2003,Titans,Raiders,24,41
1/26/2003,Raiders,Buccaneers,21,48
9/4/2003,Jets,Washington,13,16
9/7/2003,  .  Chargers,Chiefs,14,27
9/7/2003,  .  Raiders,Titans,20,25
9/7/2003,Patriots,Bills,0,31
9/7/2003,Broncos,Bengals,30,10
9/7/2003,Colts,Browns,9,6
9/7/2003,Cardinals,Lions,24,42
9/7/2003,Vikings,Packers,30,25
9/7/2003,Texans,Dolphins,21,20
9/7/2003,Rams,Giants,13,23
9/7/2003,Ravens,Steelers,15,34
9/7/2003,Jaguars,Panthers,23,24
9/7/2003,Falcons,Cowboys,27,13
9/7/2003,Bears,49ers,7,49
9/7/2003,Saints,Seahawks,10,27
9/8/2003,Buccaneers,Eagles,17,0
9/14/2003,Washington,Falcons,33,31
9/14/2003,Lions,Packers,6,31
9/14/2003,Titans,Colts,7,33
9/14/2003,Steelers,Chiefs,20,41
9/14/2003,49ers,Rams,24,27
9/14/2003,Texans,Saints,10,31
9/14/2003,Dolphins,Jets,21,10
9/14/2003,Bills,Jaguars,38,17
9/14/2003,Browns,Ravens,13,33
9/14/2003,Seahawks,Cardinals,38,0
9/14/2003,Panthers,Buccaneers,12,9
9/14/2003,Bengals,Raiders,20,23
9/14/2003,Patriots,Eagles,31,10
9/14/2003,Broncos,Chargers,37,13
9/14/2003,Bears,Vikings,13,24
9/15/2003,Cowboys,Giants,35,32
9/21/2003,Buccaneers,Falcons,31,10
9/21/2003,Steelers,Bengals,17,10
9/21/2003,Vikings,Lions,23,13
9/21/2003,Saints,Titans,12,27
9/21/2003,Jaguars,Colts,13,23
9/21/2003,Jets,Patriots,16,23
9/21/2003,Chiefs,Texans,42,14
9/21/2003,Packers,Cardinals,13,20
9/21/2003,Rams,Seahawks,23,24
9/21/2003,Giants,Washington,24,21
9/21/2003,Ravens,Chargers,24,10
9/21/2003,Browns,49ers,13,12
9/21/2003,Bills,Dolphins,7,17
9/22/2003,Raiders,Broncos,10,31
9/28/2003,Eagles,Bills,23,13
9/28/2003,Bengals,Browns,21,14
9/28/2003,Cardinals,Rams,13,37
9/28/2003,49ers,Vikings,7,35
9/28/2003,Titans,Steelers,30,13
9/28/2003,Patriots,Washington,17,20
9/28/2003,Jaguars,Texans,20,24
9/28/2003,Chargers,Raiders,31,34
9/28/2003,Chiefs,Ravens,17,10
9/28/2003,Lions,Broncos,16,20
9/28/2003,Cowboys,Jets,17,6
9/28/2003,Falcons,Panthers,3,23
9/28/2003,Colts,Saints,55,21
9/29/2003,Packers,Bears,38,23
10/5/2003,Vikings,Falcons,39,26
10/5/2003,Bengals,Bills,16,22
10/5/2003,Raiders,Bears,21,24
10/5/2003,Cardinals,Cowboys,7,24
10/5/2003,Seahawks,Packers,13,35
10/5/2003,Broncos,Chiefs,23,24
10/5/2003,Titans,Patriots,30,38
10/5/2003,Dolphins,Giants,23,10
10/5/2003,Saints,Panthers,13,19
10/5/2003,Chargers,Jaguars,21,27
10/5/2003,Washington,Eagles,25,27
10/5/2003,Lions,49ers,17,24
10/5/2003,Browns,Steelers,33,13
10/6/2003,Colts,Buccaneers,38,35
10/12/2003,  .  Ravens,Cardinals,26,18
10/12/2003,Raiders,Browns,7,13
10/12/2003,Eagles,Cowboys,21,23
10/12/2003,Chiefs,Packers,40,34
10/12/2003,Texans,Titans,17,38
10/12/2003,Panthers,Colts,23,20
10/12/2003,Giants,Patriots,6,17
10/12/2003,Bears,Saints,13,20
10/12/2003,Buccaneers,Washington,35,13
10/12/2003,Dolphins,Jaguars,24,10
10/12/2003,Steelers,Broncos,14,17
10/12/2003,Bills,Jets,3,30
10/12/2003,49ers,Seahawks,19,20
10/13/2003,Falcons,Rams,0,36
10/19/2003,Patriots,Dolphins,19,13
10/19/2003,Saints,Falcons,45,17
10/19/2003,Ravens,Bengals,26,34
10/19/2003,Chargers,Browns,26,20
10/19/2003,Cowboys,Lions,38,7
10/19/2003,Packers,Rams,24,34
10/19/2003,Broncos,Vikings,20,28
10/19/2003,Eagles,Giants,14,10
10/19/2003,Titans,Panthers,37,17
10/19/2003,Jets,Texans,19,14
10/19/2003,Washington,Bills,7,24
10/19/2003,Buccaneers,49ers,7,24
10/19/2003,Bears,Seahawks,17,24
10/20/2003,Chiefs,Raiders,17,10
10/26/2003,  .  Browns,Patriots,3,9
10/26/2003,Lions,Bears,16,24
10/26/2003,Seahawks,Bengals,24,27
10/26/2003,Giants,Vikings,29,17
10/26/2003,Panthers,Saints,23,20
10/26/2003,Rams,Steelers,33,21
10/26/2003,Cowboys,Buccaneers,0,16
10/26/2003,Titans,Jaguars,30,17
10/26/2003,Broncos,Ravens,6,26
10/26/2003,49ers,Cardinals,13,16
10/26/2003,Texans,Colts,21,30
10/26/2003,Jets,Eagles,17,24
10/26/2003,Bills,Chiefs,5,38
10/27/2003,Dolphins,Chargers,26,10
11/2/2003,  .  Washington,Cowboys,14,21
11/2/2003,Chargers,Bears,7,20
11/2/2003,Raiders,Lions,13,23
11/2/2003,Colts,Dolphins,23,17
11/2/2003,Giants,Jets,31,28
11/2/2003,Saints,Buccaneers,17,14
11/2/2003,Jaguars,Ravens,17,24
11/2/2003,Panthers,Texans,10,14
11/2/2003,Bengals,Cardinals,14,17
11/2/2003,Steelers,Seahawks,16,23
11/2/2003,Eagles,Falcons,23,16
11/2/2003,Rams,49ers,10,30
11/2/2003,Packers,Vikings,30,27
11/3/2003,Patriots,Broncos,30,26
11/9/2003,  .  Texans,Bengals,27,34
11/9/2003,Bears,Lions,10,12
11/9/2003,Dolphins,Titans,7,31
11/9/2003,Browns,Chiefs,20,41
11/9/2003,Falcons,Giants,27,7
11/9/2003,Cardinals,Steelers,15,28
11/9/2003,Seahawks,Washington,20,27
11/9/2003,Buccaneers,Panthers,24,27
11/9/2003,Colts,Jaguars,23,28
11/9/2003,Vikings,Chargers,28,42
11/9/2003,Bills,Cowboys,6,10
11/9/2003,Jets,Raiders,27,24
11/9/2003,Ravens,Rams,22,33
11/10/2003,Eagles,Packers,17,14
11/16/2003,  .  Ravens,Dolphins,6,9
11/16/2003,  .  Washington,Panthers,17,20
11/16/2003,Texans,Bills,12,10
11/16/2003,Rams,Bears,23,21
11/16/2003,Chiefs,Bengals,19,24
11/16/2003,Cardinals,Browns,6,44
11/16/2003,Jaguars,Titans,3,10
11/16/2003,Falcons,Saints,20,23
11/16/2003,Giants,Eagles,10,28
11/16/2003,Chargers,Broncos,8,37
11/16/2003,Jets,Colts,31,38
11/16/2003,Vikings,Raiders,18,28
11/16/2003,Lions,Seahawks,14,35
11/16/2003,Packers,Buccaneers,20,13
11/16/2003,Cowboys,Patriots,0,12
11/17/2003,Steelers,49ers,14,30
11/23/2003,  .  49ers,Packers,10,20
11/23/2003,Colts,Bills,17,14
11/23/2003,Steelers,Browns,13,6
11/23/2003,Panthers,Cowboys,20,24
11/23/2003,Lions,Vikings,14,24
11/23/2003,Jaguars,Jets,10,13
11/23/2003,Saints,Eagles,20,33
11/23/2003,Seahawks,Ravens,41,44
11/23/2003,Patriots,Texans,23,20
11/23/2003,Bears,Broncos,19,10
11/23/2003,Rams,Cardinals,30,27
11/23/2003,Titans,Falcons,38,31
11/23/2003,Raiders,Chiefs,24,27
11/23/2003,Bengals,Chargers,34,27
11/23/2003,Washington,Dolphins,23,24
11/24/2003,Giants,Buccaneers,13,19
11/27/2003,Packers,Lions,14,22
11/27/2003,Dolphins,Cowboys,40,21
11/30/2003,Cardinals,Bears,3,28
11/30/2003,Patriots,Colts,38,34
11/30/2003,Vikings,Rams,17,48
11/30/2003,Bills,Giants,24,7
11/30/2003,Bengals,Steelers,24,20
11/30/2003,Eagles,Panthers,25,16
11/30/2003,49ers,Ravens,6,44
11/30/2003,Falcons,Texans,13,17
11/30/2003,Saints,Washington,24,20
11/30/2003,Broncos,Raiders,22,8
11/30/2003,Chiefs,Chargers,28,24
11/30/2003,Browns,Seahawks,7,34
11/30/2003,Buccaneers,Jaguars,10,17
12/1/2003,Titans,Jets,17,24
12/7/2003,  .  Bears,Packers,21,34
12/7/2003,  .  Seahawks,Vikings,7,34
12/7/2003,  .  Cowboys,Eagles,10,36
12/7/2003,  .  Panthers,Falcons,14,20
12/7/2003,Chargers,Lions,14,7
12/7/2003,Colts,Titans,29,27
12/7/2003,Buccaneers,Saints,14,7
12/7/2003,Washington,Giants,20,7
12/7/2003,Raiders,Steelers,7,27
12/7/2003,Texans,Jaguars,0,27
12/7/2003,Bengals,Ravens,13,31
12/7/2003,Cardinals,49ers,14,50
12/7/2003,Jets,Bills,6,17
12/7/2003,Chiefs,Broncos,27,45
12/7/2003,Dolphins,Patriots,0,12
12/8/2003,Rams,Browns,26,20
12/14/2003,  .  Bills,Titans,26,28
12/14/2003,Vikings,Bears,10,13
12/14/2003,49ers,Bengals,38,41
12/14/2003,Falcons,Colts,7,38
12/14/2003,Lions,Chiefs,17,45
12/14/2003,Seahawks,Rams,22,27
12/14/2003,Jaguars,Patriots,13,27
12/14/2003,Steelers,Jets,0,6
12/14/2003,Texans,Buccaneers,3,16
12/14/2003,Browns,Broncos,20,23
12/14/2003,Ravens,Raiders,12,20
12/14/2003,Panthers,Cardinals,20,17
12/14/2003,Packers,Chargers,38,21
12/14/2003,Cowboys,Washington,27,0
12/14/2003,Giants,Saints,7,45
12/15/2003,Eagles,Dolphins,34,27
12/20/2003,  .  Patriots,Jets,21,16
12/20/2003,Chiefs,Vikings,20,45
12/20/2003,Falcons,Buccaneers,30,28
12/21/2003,Dolphins,Bills,20,3
12/21/2003,Washington,Bears,24,27
12/21/2003,Ravens,Browns,35,0
12/21/2003,Giants,Cowboys,3,19
12/21/2003,Bengals,Rams,10,27
12/21/2003,Lions,Panthers,14,20
12/21/2003,Saints,Jaguars,19,20
12/21/2003,Titans,Texans,27,24
12/21/2003,Chargers,Steelers,24,40
12/21/2003,49ers,Eagles,31,28
12/21/2003,Cardinals,Seahawks,10,28
12/21/2003,Broncos,Colts,31,17
12/22/2003,Packers,Raiders,41,7
12/27/2003,Bills,Patriots,0,31
12/27/2003,Seahawks,49ers,24,17
12/27/2003,Eagles,Washington,31,7
12/28/2003,  .  Rams,Lions,20,30
12/28/2003,  .  Broncos,Packers,3,31
12/28/2003,Jaguars,Falcons,14,21
12/28/2003,Browns,Bengals,22,14
12/28/2003,Buccaneers,Titans,13,33
12/28/2003,Bears,Chiefs,3,31
12/28/2003,Jets,Dolphins,21,23
12/28/2003,Cowboys,Saints,7,13
12/28/2003,Colts,Texans,20,17
12/28/2003,Panthers,Giants,37,24
12/28/2003,Vikings,Cardinals,17,18
12/28/2003,Raiders,Chargers,14,21
12/28/2003,Steelers,Ravens,10,13
1/3/2004,Titans,Ravens,20,17
1/3/2004,Cowboys,Panthers,10,29
1/4/2004,Seahawks,Packers,27,33
1/4/2004,Broncos,Colts,10,41
1/10/2004,Panthers,Rams,29,23
1/10/2004,Titans,Patriots,14,17
1/11/2004,Colts,Chiefs,38,31
1/11/2004,Packers,Eagles,17,20
1/18/2004,Colts,Patriots,14,24
1/18/2004,Panthers,Eagles,14,3
2/1/2004,Panthers,Patriots,29,32
9/9/2004,Colts,Patriots,24,27
9/11/2004,Titans,Dolphins,17,7
9/12/2004,  .  Lions,Bears,20,16
9/12/2004,Jaguars,Bills,13,10
9/12/2004,Ravens,Browns,3,20
9/12/2004,Cardinals,Rams,10,17
9/12/2004,Seahawks,Saints,21,7
9/12/2004,Bengals,Jets,24,31
9/12/2004,Raiders,Steelers,21,24
9/12/2004,Buccaneers,Washington,10,16
9/12/2004,Chargers,Texans,27,20
9/12/2004,Cowboys,Vikings,17,35
9/12/2004,Giants,Eagles,17,31
9/12/2004,Falcons,49ers,21,19
9/12/2004,Chiefs,Broncos,24,34
9/13/2004,Packers,Panthers,24,14
9/19/2004,Rams,Falcons,17,34
9/19/2004,Texans,Lions,16,28
9/19/2004,Bears,Packers,21,10
9/19/2004,Colts,Titans,31,17
9/19/2004,Panthers,Chiefs,28,17
9/19/2004,49ers,Saints,27,30
9/19/2004,Washington,Giants,14,20
9/19/2004,Broncos,Jaguars,6,7
9/19/2004,Steelers,Ravens,13,30
9/19/2004,Seahawks,Buccaneers,10,6
9/19/2004,Browns,Cowboys,12,19
9/19/2004,Bills,Raiders,10,13
9/19/2004,Patriots,Cardinals,23,12
9/19/2004,Jets,Chargers,34,28
9/19/2004,Dolphins,Bengals,13,16
9/20/2004,Vikings,Eagles,16,27
9/26/2004,  .  Cardinals,Falcons,3,6
9/26/2004,Ravens,Bengals,23,9
9/26/2004,Eagles,Lions,30,13
9/26/2004,Jaguars,Titans,15,12
9/26/2004,Texans,Chiefs,24,21
9/26/2004,Saints,Rams,28,25
9/26/2004,Bears,Vikings,22,27
9/26/2004,Browns,Giants,10,27
9/26/2004,Chargers,Broncos,13,23
9/26/2004,Packers,Colts,31,45
9/26/2004,49ers,Seahawks,0,34
9/26/2004,Buccaneers,Raiders,20,30
9/26/2004,Steelers,Dolphins,13,3
9/27/2004,Cowboys,Washington,21,18
10/3/2004,  .  Washington,Browns,13,17
10/3/2004,Rams,49ers,24,14
10/3/2004,Patriots,Bills,31,17
10/3/2004,Eagles,Bears,19,9
10/3/2004,Giants,Packers,14,7
10/3/2004,Bengals,Steelers,17,28
10/3/2004,Colts,Jaguars,24,17
10/3/2004,Raiders,Texans,17,30
10/3/2004,Saints,Cardinals,10,34
10/3/2004,Falcons,Panthers,27,10
10/3/2004,Jets,Dolphins,17,9
10/3/2004,Titans,Chargers,17,38
10/3/2004,Broncos,Buccaneers,16,13
10/4/2004,Chiefs,Ravens,27,24
10/10/2004,Lions,Falcons,17,10
10/10/2004,Giants,Cowboys,26,10
10/10/2004,Raiders,Colts,14,35
10/10/2004,Dolphins,Patriots,10,24
10/10/2004,Buccaneers,Saints,20,17
10/10/2004,Browns,Steelers,23,34
10/10/2004,Vikings,Texans,34,28
10/10/2004,Bills,Jets,14,16
10/10/2004,Jaguars,Chargers,21,34
10/10/2004,Panthers,Broncos,17,20
10/10/2004,Cardinals,49ers,28,31
10/10/2004,Rams,Seahawks,33,27
10/10/2004,Ravens,Washington,17,10
10/11/2004,Titans,Packers,48,27
10/17/2004,Chargers,Falcons,20,21
10/17/2004,Dolphins,Bills,13,20
10/17/2004,Washington,Bears,13,10
10/17/2004,Bengals,Browns,17,34
10/17/2004,Packers,Lions,38,10
10/17/2004,Texans,Titans,20,10
10/17/2004,Seahawks,Patriots,20,30
10/17/2004,49ers,Jets,14,22
10/17/2004,Panthers,Eagles,8,30
10/17/2004,Chiefs,Jaguars,16,22
10/17/2004,Steelers,Cowboys,24,20
10/17/2004,Broncos,Raiders,31,3
10/17/2004,Vikings,Saints,38,31
10/18/2004,Buccaneers,Rams,21,28
10/24/2004,Eagles,Browns,34,31
10/24/2004,Jaguars,Colts,27,24
10/24/2004,Falcons,Chiefs,10,56
10/24/2004,Rams,Dolphins,14,31
10/24/2004,Titans,Vikings,3,20
10/24/2004,Lions,Giants,28,13
10/24/2004,Bears,Buccaneers,7,19
10/24/2004,Chargers,Panthers,17,6
10/24/2004,Bills,Ravens,6,20
10/24/2004,Jets,Patriots,7,13
10/24/2004,Cowboys,Packers,20,41
10/24/2004,Saints,Raiders,31,26
10/24/2004,Seahawks,Cardinals,17,25
10/25/2004,Broncos,Bengals,10,23
10/31/2004,Cardinals,Bills,14,38
10/31/2004,Lions,Cowboys,21,31
10/31/2004,Bengals,Titans,20,27
10/31/2004,Colts,Chiefs,35,45
10/31/2004,Giants,Vikings,34,13
10/31/2004,Ravens,Eagles,10,15
10/31/2004,Packers,Washington,28,14
10/31/2004,Jaguars,Texans,6,20
10/31/2004,Falcons,Broncos,41,28
10/31/2004,Panthers,Seahawks,17,23
10/31/2004,Patriots,Steelers,20,34
10/31/2004,Raiders,Chargers,14,42
10/31/2004,49ers,Bears,13,23
11/1/2004,Dolphins,Jets,14,41
11/7/2004,  .  Cowboys,Bengals,3,26
11/7/2004,  .  Bears,Giants,28,21
11/7/2004,  .  Browns,Ravens,13,27
11/7/2004,Jets,Bills,17,22
11/7/2004,Washington,Lions,17,10
11/7/2004,Cardinals,Dolphins,24,23
11/7/2004,Eagles,Steelers,3,27
11/7/2004,Chiefs,Buccaneers,31,34
11/7/2004,Raiders,Panthers,27,24
11/7/2004,Saints,Chargers,17,43
11/7/2004,Seahawks,49ers,42,27
11/7/2004,Texans,Broncos,13,31
11/7/2004,Patriots,Rams,40,22
11/8/2004,Vikings,Colts,28,31
11/14/2004,Buccaneers,Falcons,14,24
11/14/2004,Steelers,Browns,24,10
11/14/2004,Bears,Titans,19,17
11/14/2004,Texans,Colts,14,49
11/14/2004,Seahawks,Rams,12,23
11/14/2004,Chiefs,Saints,20,27
11/14/2004,Ravens,Jets,20,17
11/14/2004,Lions,Jaguars,17,23
