date,away,home,first_downs_away,first_downs_home,third_downs_away,third_downs_home,fourth_downs_away,fourth_downs_home,passing_yards_away,passing_yards_home,rushing_yards_away,rushing_yards_home,total_yards_away,total_yards_home,comp_att_away,comp_att_home,sacks_away,sacks_home,rushing_attempts_away,rushing_attempts_home,fumbles_away,fumbles_home,int_away,int_home,turnovers_away,turnovers_home,penalties_away,penalties_home,redzone_away,redzone_home,drives_away,drives_home,def_st_td_away,def_st_td_home,possession_away,possession_home
1/26/2003,Raiders,Buccaneers,11,24,16-Jul,15-Jun,0-0,0-1,250,215,19,150,269,365,24-44,18-34,22-May,0-0,11,42,0,0,5,1,5,1,Jul-51,May-41,0-8,0-8,23,19,1,6,22:46,37:14:00
9/4/2003,Jets,Washington,11,17,12-Mar,10-Mar,1-Jan,1-Jan,101,167,57,160,158,327,15-24,17-23,4-Jan,18-Apr,22,34,0,1,0,1,0,2,5-Jan,Jun-55,0-5,0-6,13,13,0,0,25:14:00,34:46:00
9/7/2003,  .  Chargers,Chiefs,13,19,13-Mar,15-Jun,0-1,0-0,168,259,64,131,232,390,18-33,21-32,Mar-34,23-Mar,18,32,0,1,2,1,2,2,Aug-55,Jul-62,0-1,0-0,3,2,0,0,25:37:00,34:23:00
9/7/2003,  .  Raiders,Titans,13,20,12-Jan,13-May,0-0,0-0,246,258,34,76,280,334,24-39,25-38,18-Apr,11-Jan,10,28,1,1,0,1,1,2,17-173,11-111,0-0,0-0,0,0,0,0,25:03:00,34:57:00
9/7/2003,Patriots,Bills,16,23,10-Apr,14-Jul,0-1,0-1,134,215,105,107,239,322,17-35,17-28,20-Feb,15-Feb,21,33,0,1,4,1,4,2,12-121,10-119,0-1,0-1,2,2,0,2,26:10:00,33:50:00
9/7/2003,Broncos,Bengals,19,15,14-Jun,12-Mar,0-0,0-3,109,243,184,51,293,294,25-Dec,20-37,6-Jan,21-Apr,40,22,0,2,3,2,3,4,May-58,25-Apr,0-0,0-1,1,4,2,0,32:18:00,27:42:00
9/7/2003,Colts,Browns,18,18,12-Jul,11-Apr,0-0,0-0,204,182,67,98,271,280,27-43,20-29,7-Jan,0-0,15,26,0,0,2,2,2,2,Sep-53,Sep-64,0-1,0-0,1,1,0,0,27:21:00,32:39:00
9/7/2003,Cardinals,Lions,21,16,15-Sep,13-Jun,0-1,1-Jan,339,195,95,66,434,261,28-46,17-30,19-Feb,0-0,20,23,2,0,1,0,3,0,Dec-80,Jun-36,0-1,0-1,1,2,0,3,34:06:00,25:54:00
9/7/2003,Vikings,Packers,21,22,14-Aug,10-May,0-0,0-0,183,242,154,62,337,304,15-30,25-41,12-Feb,6-Jan,36,19,2,1,0,4,2,5,Jul-65,Jun-60,0-1,0-1,2,2,0,0,33:20:00,26:40:00
9/7/2003,Texans,Dolphins,16,14,17-Jun,13-May,0-0,0-0,266,215,127,86,393,301,17-32,17-32,0-0,12-Feb,34,22,0,1,0,2,0,3,Aug-67,Nov-87,0-0,0-0,1,1,0,0,33:18:00,26:42:00
9/7/2003,Rams,Giants,18,15,16-May,13-May,4-Jan,0-0,315,187,40,149,355,336,35-55,14-26,Jun-38,15-Feb,13,27,3,3,1,0,4,3,May-35,Jul-59,0-0,0-0,2,3,0,2,33:14:00,26:46:00
9/7/2003,Ravens,Steelers,17,21,16-May,15-Jul,2-Jan,1-Jan,143,251,88,88,231,339,22-43,21-29,9-Feb,9-Feb,23,34,1,1,1,0,2,1,Oct-81,9-138,0-1,0-2,2,2,0,0,27:20:00,32:40:00
9/7/2003,Jaguars,Panthers,17,17,13-Apr,14-Apr,0-0,1-Jan,256,120,75,122,331,242,23-27,16-30,16-Apr,21-May,28,26,1,0,0,2,1,2,Aug-82,Sep-83,0-0,0-1,2,3,0,0,33:23:00,26:37:00
9/7/2003,Falcons,Cowboys,17,16,11-Apr,13-May,0-0,0-1,220,254,98,149,318,403,16-27,15-32,8-Feb,14-Mar,30,24,0,1,1,1,1,2,Apr-31,Jul-49,0-5,0-5,15,16,0,0,33:00:00,27:00:00
9/7/2003,Bears,49ers,8,23,14-Mar,16-Aug,0-1,0-1,72,229,55,162,127,391,14-34,19-35,23-May,0-0,20,42,2,1,3,1,5,2,30-Apr,25-Apr,0-7,0-9,26,17,0,2,21:57,38:03:00
9/7/2003,Saints,Seahawks,20,17,19-Oct,12-Mar,0-1,0-0,263,119,96,151,359,270,29-47,23-Dec,11-Feb,18-Mar,26,33,3,0,1,0,4,0,11-114,20-Mar,0-5,0-6,18,14,0,0,34:39:00,25:21:00
9/8/2003,Buccaneers,Eagles,19,13,17-Sep,11-Feb,0-0,0-2,238,124,90,121,328,245,27-36,19-37,0-0,24-Mar,31,16,0,1,1,1,1,2,Jul-64,25-Mar,0-1,0-1,4,4,0,0,37:39:00,22:21
9/14/2003,Washington,Falcons,23,17,15-May,11-Jan,0-0,0-0,310,184,125,99,435,283,25-39,16-36,Jun-46,13-Mar,31,22,2,0,0,2,2,2,Dec-79,May-35,0-3,0-8,21,22,0,0,34:42:00,25:18:00
9/14/2003,Lions,Packers,14,17,20-Jun,15-Jun,2-Jan,0-0,237,132,56,200,293,332,26-55,15-28,4-Jan,0-0,17,35,0,1,3,1,3,2,Jul-60,Jul-35,0-5,0-2,21,15,0,2,27:16:00,32:44:00
9/14/2003,Titans,Colts,14,20,13-Apr,12-Mar,2-Jan,1-Jan,183,164,53,127,236,291,22-34,14-21,26-May,9-Jan,19,34,1,0,1,0,2,0,Oct-99,Jun-38,0-6,0-4,19,12,0,2,29:10:00,30:50:00
9/14/2003,Steelers,Chiefs,16,19,16-Jun,11-May,0-2,0-0,320,123,60,159,380,282,28-47,15-21,16-Apr,1-Jan,16,35,1,0,3,2,4,2,Aug-82,Apr-32,0-6,0-4,20,17,2,3,29:13:00,30:47:00
9/14/2003,49ers,Rams,20,21,14-Apr,14-Jun,2-Feb,0-0,242,190,148,88,390,278,21-38,25-36,1-Jan,May-46,26,24,0,4,1,0,1,4,13-121,Apr-43,0-7,0-9,17,17,0,0,30:03:00,31:57:00
9/14/2003,Texans,Saints,16,12,16-Apr,17-Aug,3-Feb,0-0,183,182,75,110,258,292,17-36,18-27,30-May,7-Feb,24,27,0,0,2,0,2,0,Nov-86,Sep-78,0-5,0-1,18,15,0,2,27:47:00,32:13:00
9/14/2003,Dolphins,Jets,23,17,10-Apr,14-Jul,0-0,0-1,189,366,187,21,376,387,14-19,29-45,1-Jan,7-Jan,44,11,1,0,0,1,1,1,30-Apr,Jul-52,0-4,0-4,12,13,0,0,35:46:00,24:14:00
9/14/2003,Bills,Jaguars,20,20,14-Aug,14-Apr,2-Jan,4-Mar,328,192,43,95,371,287,20-27,26-40,0-0,22-Mar,32,22,0,0,0,0,0,0,Jun-55,Aug-97,0-6,0-8,13,16,0,0,31:10:00,28:50:00
9/14/2003,Browns,Ravens,9,14,16-Apr,15-Apr,0-2,1-Jan,115,50,60,343,175,393,17-37,18-Jul,Mar-32,28-Apr,20,41,1,2,2,1,3,3,Jun-50,Oct-85,0-7,0-6,21,19,0,2,29:16:00,30:44:00
9/14/2003,Seahawks,Cardinals,16,18,12-Jun,18-Oct,0-0,0-1,193,193,130,93,323,286,21-Oct,25-46,2-Jan,12-Feb,30,24,0,2,0,4,0,6,Aug-64,Apr-40,0-3,0-4,11,18,2,0,26:29:00,33:31:00
9/14/2003,Panthers,Buccaneers,14,25,17-Apr,18-Aug,0-0,0-0,87,337,171,60,258,397,23-Sep,34-61,9-Jan,2-Jan,40,22,0,0,2,1,2,1,16-120,17-168,0-4,0-4,14,16,0,0,35:01:00,36:31:00
9/14/2003,Bengals,Raiders,27,12,18-Sep,10-Feb,0-0,0-0,287,103,129,134,416,237,25-41,13-28,16-Feb,0-0,39,20,0,0,2,0,2,0,Jul-65,Jun-59,0-7,0-6,17,16,0,2,39:24:00,20:36
9/14/2003,Patriots,Eagles,17,23,17-Apr,14-Mar,2-Jan,0-0,247,168,62,100,309,268,30-44,20-48,8-Feb,Aug-43,30,16,0,4,0,2,0,6,Aug-84,Jul-53,0-5,0-5,19,22,2,0,36:35:00,23:25
9/14/2003,Broncos,Chargers,24,19,11-Apr,11-Jan,1-Jan,3-Feb,185,182,197,121,382,303,16-29,20-41,7-Jan,0-0,33,18,0,0,0,1,0,1,Oct-81,Nov-96,0-9,0-8,14,17,0,0,33:13:00,26:47:00
9/14/2003,Bears,Vikings,10,25,9-Feb,14-Sep,0-0,0-0,128,198,80,202,208,400,14-23,20-26,17-Mar,16-Mar,17,39,0,1,1,0,1,1,Jun-50,25-Mar,0-6,0-8,14,13,0,0,21:18,38:42:00
9/15/2003,Cowboys,Giants,24,20,16-May,17-Aug,0-0,0-0,296,256,107,53,403,309,25-40,21-51,25-Apr,9-Feb,36,17,0,1,1,2,1,3,11-108,10-102,0-2,0-1,3,5,2,2,42:30:00,26:34:00
9/21/2003,Buccaneers,Falcons,18,13,13-Apr,12-Mar,0-0,1-Jan,184,107,132,29,316,136,16-24,18-31,8-Jan,20-Feb,37,19,1,1,0,4,1,5,10-123,May-35,0-6,0-5,16,19,0,0,35:04:00,24:56:00
9/21/2003,Steelers,Bengals,22,11,16-Aug,10-Mar,2-Feb,0-0,238,125,138,57,376,182,21-34,16-24,2-Jan,Apr-32,38,16,0,0,1,1,1,1,Jun-53,Jul-49,0-5,0-4,12,11,0,0,37:06:00,22:54
9/21/2003,Vikings,Lions,14,22,14-May,15-Jun,0-0,0-1,287,225,127,77,414,302,15-32,24-42,2-Feb,10-Feb,22,26,0,0,1,3,1,3,11-125,Sep-56,0-6,0-6,16,16,0,0,25:25:00,34:35:00
9/21/2003,Saints,Titans,11,28,8-Mar,14-Aug,0-1,1-Jan,165,280,23,105,188,385,15-23,24-35,20-Mar,1-Feb,15,35,2,1,0,0,2,1,27-May,14-Mar,0-7,0-7,15,11,0,0,20:49,39:11:00
9/21/2003,Jaguars,Colts,15,17,13-May,14-Jul,0-0,0-0,114,216,152,73,266,289,16-28,21-33,8-Feb,0-0,25,30,1,0,0,1,1,1,Jul-38,20-Apr,0-8,0-5,15,14,0,0,23:48,36:12:00
9/21/2003,Jets,Patriots,16,19,13-Jan,14-May,0-2,0-0,264,147,65,147,329,294,25-44,15-26,0-0,May-34,17,36,0,1,1,0,1,1,Jun-52,Sep-87,0-5,0-7,19,17,0,2,27:23:00,32:37:00
9/21/2003,Chiefs,Texans,27,20,13-Jul,15-Apr,0-0,2-Feb,258,209,168,107,426,316,16-28,24-38,4-Jan,9-Jan,35,26,0,2,2,2,2,4,20-Apr,Oct-74,0-5,0-7,15,19,3,0,30:21:00,29:39:00
9/21/2003,Packers,Cardinals,18,21,11-Apr,13-Aug,0-0,0-0,245,273,66,81,311,354,23-33,20-31,0-0,0-0,23,31,1,0,1,1,2,1,Apr-48,Jul-57,0-4,0-6,13,13,0,0,26:54:00,33:06:00
9/21/2003,Rams,Seahawks,19,20,13-May,14-Jul,0-1,0-1,226,220,82,96,308,316,21-34,22-39,0-0,Apr-36,28,22,1,0,2,1,3,1,15-Mar,30-Apr,0-9,0-7,15,17,0,2,32:19:00,27:41:00
9/21/2003,Giants,Washington,25,25,10-Jan,15-Jul,0-0,0-0,270,332,129,124,399,456,24-39,23-45,6-Jan,16-Mar,31,22,0,0,0,1,0,1,15-124,17-142,0-5,0-5,17,15,0,0,34:32:00,29:43:00
9/21/2003,Ravens,Chargers,16,25,9-Mar,15-Jun,0-0,1-Jan,97,257,152,132,249,389,21-Dec,28-45,1-Jan,13-Jan,32,30,0,0,1,3,1,3,28-Apr,Oct-61,0-3,0-4,14,14,1,0,24:48:00,35:12:00
9/21/2003,Browns,49ers,20,15,14-Sep,15-May,0-0,0-2,200,190,51,75,251,265,25-38,21-35,22-Mar,8-Feb,19,24,1,0,1,1,2,1,Jul-60,Aug-88,0-5,0-5,11,12,0,0,28:45:00,31:15:00
9/21/2003,Bills,Dolphins,8,23,9-Jan,14-Jun,0-0,0-0,77,147,41,166,118,313,26-Oct,16-28,21-Apr,7-Jan,14,44,0,1,3,2,3,3,Nov-84,Apr-35,0-3,0-4,16,13,2,0,19:10,40:50:00
9/22/2003,Raiders,Broncos,11,20,15-Apr,12-Jun,2-Jan,0-0,156,193,39,190,195,383,17-35,14-21,28-May,4-Feb,16,39,0,1,1,0,1,1,13-98,Jun-35,0-3,0-5,17,16,0,0,24:41:00,35:19:00
9/28/2003,Eagles,Bills,19,15,16-Sep,15-Jun,0-0,3-Feb,159,287,176,21,335,308,18-29,27-43,14-Feb,9-Feb,34,12,0,1,0,0,0,1,Jul-45,Oct-84,0-5,0-7,12,15,0,0,33:48:00,26:12:00
9/28/2003,Bengals,Browns,17,18,15-Sep,11-May,0-0,0-1,215,270,80,69,295,339,23-31,23-36,0-0,10-Feb,29,22,0,0,0,1,0,1,Nov-60,11-101,0-4,0-5,11,13,0,0,29:47:00,30:13:00
9/28/2003,Cardinals,Rams,7,34,0-8,17-Nov,2-Feb,0-0,125,268,36,133,161,401,13-21,28-42,10-Jan,4-Jan,14,41,3,0,0,1,3,1,Oct-92,May-35,0-2,0-7,17,14,1,0,17:33,42:27:00
9/28/2003,49ers,Vikings,18,19,15-Jun,10-May,4-Jan,0-0,227,252,145,102,372,354,23-41,16-21,27-Apr,15-Feb,25,30,0,0,3,0,3,0,Sep-55,29-Apr,0-7,0-5,15,12,0,0,30:58:00,29:02:00
9/28/2003,Titans,Steelers,9,25,10-Mar,13-Apr,0-0,3-Feb,158,307,40,69,198,376,15-16,31-47,3-Jan,25-Mar,22,25,0,0,0,2,0,2,Oct-77,Aug-80,0-5,0-7,16,15,2,0,24:10:00,35:50:00
9/28/2003,Patriots,Washington,23,15,15-Jul,11-Mar,0-1,0-0,281,134,106,119,387,253,25-38,22-Oct,8-Jan,13-Feb,30,29,1,0,3,0,4,0,Aug-64,Sep-75,0-5,0-7,15,16,0,0,33:39:00,26:21:00
9/28/2003,Jaguars,Texans,15,21,11-Feb,16-Jul,1-Jan,1-Jan,263,229,79,110,342,339,18-37,23-37,0-0,5-Jan,22,37,2,2,3,2,5,4,Sep-48,Apr-43,0-5,0-6,16,17,0,0,24:46:00,35:14:00
9/28/2003,Chargers,Raiders,22,23,13-Mar,15-May,1-Jan,2-Feb,208,328,222,120,430,448,22-32,26-43,0-0,20-Mar,39,24,0,1,1,1,1,2,9-111,Jul-57,0-6,0-5,20,19,0,0,37:13:00,32:46:00
9/28/2003,Chiefs,Ravens,15,22,14-Apr,12-May,0-0,0-1,136,124,129,202,265,326,17-28,15-26,23-Mar,16-Mar,28,36,0,1,0,3,0,4,26-Apr,30-Apr,0-4,0-4,15,15,1,0,28:45:00,31:15:00
9/28/2003,Lions,Broncos,16,20,15-Jul,11-Apr,2-Jan,0-0,141,253,144,79,285,332,15-33,25-34,8-Jan,24-Mar,24,23,0,1,0,0,0,1,Aug-74,Jun-44,0-2,0-3,14,13,0,0,26:40:00,33:20:00
9/28/2003,Cowboys,Jets,18,15,16-Jul,12-May,0-0,0-1,158,219,202,66,360,285,23-Nov,21-29,7-Feb,0-0,41,26,0,2,1,0,1,2,May-38,Apr-40,0-2,0-5,13,13,0,0,32:36:00,27:24:00
9/28/2003,Falcons,Panthers,11,19,12-Feb,17-Aug,0-1,0-0,123,168,144,193,267,361,14-23,17-27,29-Jun,0-0,23,39,0,1,1,0,1,1,Sep-84,Apr-40,0-4,0-4,16,12,0,0,27:23:00,32:37:00
9/28/2003,Colts,Saints,20,20,11-Jul,12-Jun,0-0,0-1,318,208,100,155,418,363,21-27,21-36,9-Jan,20-Feb,28,25,0,2,0,2,0,4,20-Feb,May-50,0-6,0-10,17,20,2,0,31:56:00,28:04:00
9/29/2003,Packers,Bears,20,23,10-May,15-May,0-1,1-Jan,193,180,187,181,380,361,22-30,25-44,0-0,21-May,25,28,0,0,1,2,1,2,Apr-38,Jun-62,0-9,0-8,15,19,0,0,27:31:00,32:29:00
10/5/2003,Vikings,Falcons,16,21,14-Apr,10-Mar,0-1,0-0,233,336,166,104,399,440,14-24,28-41,6-Feb,16-Feb,38,17,0,1,1,2,1,3,Aug-58,Jul-56,0-7,0-12,23,22,0,0,33:28:00,26:32:00
10/5/2003,Bengals,Bills,18,17,16-Jun,15-Mar,0-0,2-Jan,212,177,67,80,279,257,26-44,19-35,13-Jan,Apr-34,27,27,1,0,1,0,2,0,Jul-49,Jun-49,0-8,0-7,18,17,0,0,34:30:00,29:23:00
10/5/2003,Raiders,Bears,18,18,13-May,11-Apr,0-0,1-Jan,182,144,119,200,301,344,17-35,13-24,5-Jan,16-Feb,26,35,0,1,2,2,2,3,May-45,Nov-97,0-8,0-7,16,17,0,0,28:34:00,31:26:00
10/5/2003,Cardinals,Cowboys,9,18,12-Mar,16-Jun,0-1,2-Jan,119,268,32,97,151,365,14-28,20-31,2-Mar,9-Jan,18,36,0,0,2,1,2,1,May-36,Jul-64,0-4,0-5,16,16,0,0,23:32,36:28:00
10/5/2003,Seahawks,Packers,23,27,10-May,9-Jun,0-2,0-0,215,177,128,159,343,336,23-39,19-25,10-Feb,8-Jan,23,35,1,0,1,0,2,0,Jul-57,25-Mar,0-8,0-6,13,8,0,0,26:50:00,33:10:00
10/5/2003,Broncos,Chiefs,22,13,15-May,13-Mar,0-1,0-0,292,129,176,133,468,262,21-39,15-29,0-0,0-0,31,24,1,1,0,1,1,2,Jul-59,Jul-47,0-6,0-6,17,17,0,1,34:06:00,25:54:00
10/5/2003,Titans,Patriots,23,21,15-Jun,12-Jun,1-Jan,0-1,341,193,70,161,411,354,23-45,17-31,19-Feb,26-Mar,27,27,0,0,1,0,1,0,Aug-66,Sep-55,0-11,0-9,18,19,0,2,31:55:00,28:05:00
10/5/2003,Dolphins,Giants,15,25,16-Jul,9-Mar,0-0,0-0,151,273,134,77,285,350,14-26,31-43,16-Feb,3-Jan,30,23,1,1,0,3,1,4,Jun-50,May-35,0-3,0-6,12,17,0,0,29:37:00,30:23:00
10/5/2003,Saints,Panthers,17,21,15-Aug,14-Aug,0-0,1-Jan,189,124,155,185,344,309,16-31,15-23,0-0,0-0,29,40,0,1,1,0,1,1,Jul-64,20-Apr,0-5,0-4,13,12,0,1,26:58:00,33:02:00
10/5/2003,Chargers,Jaguars,21,21,11-May,14-Jun,0-0,0-1,277,313,69,123,346,436,24-41,19-28,19-Apr,23-Mar,13,37,2,1,0,0,2,1,Oct-61,Aug-89,0-4,0-4,15,15,0,0,26:47:00,33:13:00
10/5/2003,Washington,Eagles,20,18,17-May,14-Jun,1-Jan,0-0,258,140,49,127,307,267,25-50,16-30,13-Feb,17-Mar,21,30,0,0,2,2,2,2,Nov-85,Jul-86,0-7,0-6,18,18,0,2,27:31:00,32:29:00
10/5/2003,Lions,49ers,15,20,11-Feb,15-Jun,0-1,0-0,221,183,84,142,305,325,20-36,15-27,0-0,9-Feb,20,39,0,0,2,1,2,1,May-48,Apr-45,0-6,0-6,17,16,0,0,25:37:00,34:23:00
10/5/2003,Browns,Steelers,22,11,13-Jul,11-Jan,0-0,0-1,200,149,124,60,324,209,20-25,14-30,8-Jan,12-Mar,40,18,1,1,1,2,2,3,10-Feb,Oct-62,0-7,0-8,16,18,2,0,37:28:00,22:32
10/6/2003,Colts,Buccaneers,24,25,15-May,14-Jun,2-Feb,0-0,381,318,74,139,455,457,34-47,26-39,5-Jan,0-0,22,33,1,0,1,1,2,1,Nov-80,11-111,0-7,0-5,17,18,0,4,32:48:00,38:25:00
10/12/2003,  .  Ravens,Cardinals,13,16,13-May,11-Feb,0-0,0-1,72,230,213,90,285,320,18-Sep,22-36,3-Jan,17-Feb,38,20,0,0,0,3,0,3,Jun-55,May-35,0-5,0-5,14,18,3,0,32:42:00,27:18:00
10/12/2003,Raiders,Browns,12,20,12-Mar,13-Jun,3-Feb,1-Jan,164,113,90,171,254,284,21-33,16-26,1-Jan,14-Feb,21,32,0,1,0,0,0,1,19-128,Jun-55,0-4,0-2,12,10,0,0,28:22:00,31:38:00
10/12/2003,Eagles,Cowboys,14,15,15-May,16-May,1-Jan,1-Jan,115,173,117,119,232,292,26-Nov,15-26,11-Feb,10-Jan,32,36,1,0,0,1,1,1,10-Feb,23-May,0-6,0-6,18,16,0,1,27:56:00,32:04:00
10/12/2003,Chiefs,Packers,22,24,17-Sep,15-Jun,0-0,1-Jan,400,257,82,183,482,440,27-45,25-36,0-0,15-Mar,26,35,0,1,0,1,0,2,May-40,25-Mar,0-7,0-7,20,19,2,0,29:43:00,36:35:00
10/12/2003,Texans,Titans,24,22,9-Feb,11-May,0-0,0-0,367,421,91,114,458,535,25-42,18-27,4-Jan,Jan-00,16,33,0,1,3,0,3,1,Jun-50,Aug-69,0-8,0-2,18,13,0,2,26:17:00,33:43:00
10/12/2003,Panthers,Colts,17,20,15-May,12-Mar,0-0,1-Jan,152,293,189,76,341,369,20-Dec,23-34,29-Mar,0-0,41,27,1,2,1,1,2,3,Sep-70,30-Apr,0-7,0-6,18,16,0,0,37:52:00,27:47:00
10/12/2003,Giants,Patriots,26,12,17-Jul,11-Jan,0-2,0-0,306,91,76,129,382,220,35-59,21-Aug,8-Feb,21-Feb,24,31,1,0,4,0,5,0,Aug-50,10-110,0-4,0-4,16,16,0,2,35:13:00,24:47:00
10/12/2003,Bears,Saints,16,18,12-Apr,15-Sep,1-Jan,0-1,131,153,140,130,271,283,21-Oct,14-29,21-Mar,0-0,32,34,2,0,0,0,2,0,May-86,Jun-35,0-5,0-5,12,13,0,0,30:26:00,29:34:00
10/12/2003,Buccaneers,Washington,25,19,10-Jun,16-Sep,0-0,0-1,268,207,111,68,379,275,22-30,25-36,0-0,Jun-39,25,23,0,1,0,2,0,3,Jun-59,Sep-72,0-5,0-4,13,14,2,0,29:03:00,30:57:00
10/12/2003,Dolphins,Jaguars,16,22,10-Apr,17-Aug,0-0,0-3,143,244,91,88,234,332,14-27,24-42,4-Jan,12-Apr,24,30,1,2,1,3,2,5,11-149,Jul-50,0-4,0-5,14,16,3,0,27:06:00,32:54:00
10/12/2003,Steelers,Broncos,17,15,15-Apr,8-Feb,2-Feb,0-0,130,165,85,77,215,242,20-31,17-28,Jul-56,7-Feb,30,18,1,1,0,2,1,3,Sep-85,Jun-37,0-4,0-2,14,15,0,0,36:15:00,23:45
10/12/2003,Bills,Jets,15,13,15-May,11-Apr,4-Jan,0-0,140,115,53,118,193,233,24-41,17-Nov,Jul-62,15-Feb,19,33,2,0,2,0,4,0,May-45,25-Mar,0-5,0-6,17,13,0,0,32:08:00,27:52:00
10/12/2003,49ers,Seahawks,19,21,12-May,15-Aug,0-0,0-0,150,186,111,147,261,333,16-27,17-27,18-Apr,21-Apr,29,34,1,0,0,1,1,1,Jun-33,8-105,0-8,0-6,15,15,0,0,27:34:00,32:26:00
10/13/2003,Falcons,Rams,9,26,13-Apr,11-Jun,0-0,0-1,136,377,73,119,209,496,28-Dec,24-35,19-Mar,0-0,21,31,2,1,2,2,4,3,30-Mar,Jun-45,0-3,0-6,19,14,0,2,22:40,37:20:00
10/19/2003,Patriots,Dolphins,16,20,15-Jun,12-Apr,0-0,0-0,273,229,59,97,332,326,24-34,20-35,10-Jan,1-Jan,29,29,2,1,0,2,2,3,May-34,Apr-40,0-4,0-6,15,15,0,0,34:45:00,34:30:00
10/19/2003,Saints,Falcons,27,11,16-Oct,12-Mar,1-Jan,1-Jan,342,108,164,130,506,238,23-31,29-Sep,10-Mar,7-Jan,36,22,1,0,0,1,1,1,Jul-54,May-78,0-7,0-7,13,19,0,0,38:10:00,21:50
10/19/2003,Ravens,Bengals,21,17,11-Feb,15-Jul,1-Jan,0-0,281,244,120,59,401,303,15-27,16-27,21-Mar,30-Apr,29,28,2,0,1,0,3,0,13-113,Aug-65,0-8,0-3,18,17,0,0,29:04:00,30:56:00
10/19/2003,Chargers,Browns,15,20,12-Feb,14-Feb,2-Jan,3-Jan,61,176,228,101,289,277,19-Sep,24-44,13-Jan,16-Mar,36,22,1,0,1,2,2,2,Dec-93,Jul-76,0-5,0-8,18,20,2,0,28:49:00,31:11:00
10/19/2003,Cowboys,Lions,25,9,14-May,15-May,2-Jan,0-1,197,74,134,83,331,157,19-27,Oct-33,1-Jan,7-Jan,43,21,1,1,0,3,1,4,Jun-65,Sep-96,0-5,0-7,15,20,2,2,37:21:00,22:39
10/19/2003,Packers,Rams,22,22,11-Apr,12-May,1-Jan,0-0,256,239,116,131,372,370,23-32,22-34,12-Jan,8-Feb,26,27,3,0,1,2,4,2,Jun-40,Aug-64,0-4,0-6,19,16,0,0,29:11:00,30:49:00
10/19/2003,Broncos,Vikings,27,14,11-Mar,11-Mar,0-1,2-Jan,183,268,138,72,321,340,21-37,19-26,May-40,9-Feb,27,22,0,0,3,0,3,0,May-40,14-108,0-6,0-5,14,16,0,2,32:06:00,27:54:00
